site,date,latitude,longitude,SST
Beach Haven,12/01/12,48.695,-122.955,8.34
Beach Haven,12/02/12,48.695,-122.955,8.31
Beach Haven,12/03/12,48.695,-122.955,7.78
Beach Haven,12/04/12,48.695,-122.955,8.11
Beach Haven,12/05/12,48.695,-122.955,6.57
Beach Haven,12/06/12,48.695,-122.955,7.35
Beach Haven,12/07/12,48.695,-122.955,6.95
Beach Haven,12/08/12,48.695,-122.955,7.38
Beach Haven,12/09/12,48.695,-122.955,7.76
Beach Haven,12/10/12,48.695,-122.955,7.94
Beach Haven,12/11/12,48.695,-122.955,8.05
Beach Haven,12/12/12,48.695,-122.955,8.02
Beach Haven,12/13/12,48.695,-122.955,8.12
Beach Haven,12/14/12,48.695,-122.955,8.25
Beach Haven,12/15/12,48.695,-122.955,8.06
Beach Haven,12/16/12,48.695,-122.955,8.49
Beach Haven,12/17/12,48.695,-122.955,8.59
Beach Haven,12/18/12,48.695,-122.955,6.66
Beach Haven,12/19/12,48.695,-122.955,7.41
Beach Haven,12/20/12,48.695,-122.955,7.75
Beach Haven,12/21/12,48.695,-122.955,7.88
Beach Haven,12/22/12,48.695,-122.955,7.97
Beach Haven,12/23/12,48.695,-122.955,8.01
Beach Haven,12/24/12,48.695,-122.955,7.95
Beach Haven,12/25/12,48.695,-122.955,7.94
Beach Haven,12/26/12,48.695,-122.955,7.99
Beach Haven,12/27/12,48.695,-122.955,7.15
Beach Haven,12/28/12,48.695,-122.955,7.68
Beach Haven,12/29/12,48.695,-122.955,7.89
Beach Haven,12/30/12,48.695,-122.955,7.17
Beach Haven,12/31/12,48.695,-122.955,7.19
Beach Haven,01/01/13,48.695,-122.955,6.86
Beach Haven,01/02/13,48.695,-122.955,6.31
Beach Haven,01/03/13,48.695,-122.955,6.18
Beach Haven,01/04/13,48.695,-122.955,6.43
Beach Haven,01/05/13,48.695,-122.955,6.86
Beach Haven,01/06/13,48.695,-122.955,7.96
Beach Haven,01/07/13,48.695,-122.955,7.44
Beach Haven,01/08/13,48.695,-122.955,7.36
Beach Haven,01/09/13,48.695,-122.955,7.42
Beach Haven,01/10/13,48.695,-122.955,6.54
Beach Haven,01/11/13,48.695,-122.955,7.84
Beach Haven,01/12/13,48.695,-122.955,7.44
Beach Haven,01/13/13,48.695,-122.955,5.65
Beach Haven,01/14/13,48.695,-122.955,6.21
Beach Haven,01/15/13,48.695,-122.955,6.64
Beach Haven,01/16/13,48.695,-122.955,6.5
Beach Haven,01/17/13,48.695,-122.955,6.77
Beach Haven,01/18/13,48.695,-122.955,6.44
Beach Haven,01/19/13,48.695,-122.955,6.3
Beach Haven,01/20/13,48.695,-122.955,6.62
Beach Haven,01/21/13,48.695,-122.955,7.43
Beach Haven,01/22/13,48.695,-122.955,7.53
Beach Haven,01/23/13,48.695,-122.955,8.86
Beach Haven,01/24/13,48.695,-122.955,7.13
Beach Haven,01/25/13,48.695,-122.955,6.72
Beach Haven,01/26/13,48.695,-122.955,5.89
Beach Haven,01/27/13,48.695,-122.955,6.15
Beach Haven,01/28/13,48.695,-122.955,6.54
Beach Haven,01/29/13,48.695,-122.955,6.75
Beach Haven,01/30/13,48.695,-122.955,6.91
Beach Haven,01/31/13,48.695,-122.955,7.08
Beach Haven,02/01/13,48.695,-122.955,6.41
Beach Haven,02/02/13,48.695,-122.955,6.65
Beach Haven,02/03/13,48.695,-122.955,7.14
Beach Haven,02/04/13,48.695,-122.955,7.32
Beach Haven,02/05/13,48.695,-122.955,7.38
Beach Haven,02/06/13,48.695,-122.955,7.33
Beach Haven,02/07/13,48.695,-122.955,7.44
Beach Haven,02/08/13,48.695,-122.955,6.41
Beach Haven,02/09/13,48.695,-122.955,6.9
Beach Haven,02/10/13,48.695,-122.955,6.25
Beach Haven,02/11/13,48.695,-122.955,6.94
Beach Haven,02/12/13,48.695,-122.955,7.19
Beach Haven,02/13/13,48.695,-122.955,6.95
Beach Haven,02/14/13,48.695,-122.955,6.93
Beach Haven,02/15/13,48.695,-122.955,6.84
Beach Haven,02/16/13,48.695,-122.955,6.52
Beach Haven,02/17/13,48.695,-122.955,6.62
Beach Haven,02/18/13,48.695,-122.955,6.8
Beach Haven,02/19/13,48.695,-122.955,6.4
Beach Haven,02/20/13,48.695,-122.955,6.43
Beach Haven,02/21/13,48.695,-122.955,7.08
Beach Haven,02/22/13,48.695,-122.955,6.87
Beach Haven,02/23/13,48.695,-122.955,6.92
Beach Haven,02/24/13,48.695,-122.955,6.91
Beach Haven,02/25/13,48.695,-122.955,7.01
Beach Haven,02/26/13,48.695,-122.955,6.66
Beach Haven,02/27/13,48.695,-122.955,6.53
Beach Haven,02/28/13,48.695,-122.955,6.63
Beach Haven,03/01/13,48.695,-122.955,6.99
Beach Haven,03/02/13,48.695,-122.955,7.78
Beach Haven,03/03/13,48.695,-122.955,6.49
Beach Haven,03/04/13,48.695,-122.955,5.87
Beach Haven,03/05/13,48.695,-122.955,6.59
Beach Haven,03/06/13,48.695,-122.955,6.92
Beach Haven,03/07/13,48.695,-122.955,7.09
Beach Haven,03/08/13,48.695,-122.955,6.96
Beach Haven,03/09/13,48.695,-122.955,6.91
Beach Haven,03/10/13,48.695,-122.955,7.65
Beach Haven,03/11/13,48.695,-122.955,5.42
Beach Haven,03/12/13,48.695,-122.955,6.34
Beach Haven,03/13/13,48.695,-122.955,6.72
