site,date,latitude,longitude,SST
False Bay,12/01/12,48.475,-123.075,8.85
False Bay,12/02/12,48.475,-123.075,8.45
False Bay,12/03/12,48.475,-123.075,8.89
False Bay,12/04/12,48.475,-123.075,8.75
False Bay,12/05/12,48.475,-123.075,7.76
False Bay,12/06/12,48.475,-123.075,8.27
False Bay,12/07/12,48.475,-123.075,8.41
False Bay,12/08/12,48.475,-123.075,8.28
False Bay,12/09/12,48.475,-123.075,8.38
False Bay,12/10/12,48.475,-123.075,8.45
False Bay,12/11/12,48.475,-123.075,8.38
False Bay,12/12/12,48.475,-123.075,8.34
False Bay,12/13/12,48.475,-123.075,7.9
False Bay,12/14/12,48.475,-123.075,7.15
False Bay,12/15/12,48.475,-123.075,6.92
False Bay,12/16/12,48.475,-123.075,8.53
False Bay,12/17/12,48.475,-123.075,8.32
False Bay,12/18/12,48.475,-123.075,7.36
False Bay,12/19/12,48.475,-123.075,7.87
False Bay,12/20/12,48.475,-123.075,8.03
False Bay,12/21/12,48.475,-123.075,7.98
False Bay,12/22/12,48.475,-123.075,8.24
False Bay,12/23/12,48.475,-123.075,8.2
False Bay,12/24/12,48.475,-123.075,8.17
False Bay,12/25/12,48.475,-123.075,8.16
False Bay,12/26/12,48.475,-123.075,7.97
False Bay,12/27/12,48.475,-123.075,8.99
False Bay,12/28/12,48.475,-123.075,8.02
False Bay,12/29/12,48.475,-123.075,8.06
False Bay,12/30/12,48.475,-123.075,8.11
False Bay,12/31/12,48.475,-123.075,8.07
False Bay,01/01/13,48.475,-123.075,7.48
False Bay,01/02/13,48.475,-123.075,6.93
False Bay,01/03/13,48.475,-123.075,7.27
False Bay,01/04/13,48.475,-123.075,7.6
False Bay,01/05/13,48.475,-123.075,7.67
False Bay,01/06/13,48.475,-123.075,8.01
False Bay,01/07/13,48.475,-123.075,7.82
False Bay,01/08/13,48.475,-123.075,7.78
False Bay,01/09/13,48.475,-123.075,7.78
False Bay,01/10/13,48.475,-123.075,6.76
False Bay,01/11/13,48.475,-123.075,7.83
False Bay,01/12/13,48.475,-123.075,7.68
False Bay,01/13/13,48.475,-123.075,6.44
False Bay,01/14/13,48.475,-123.075,6.94
False Bay,01/15/13,48.475,-123.075,7.33
False Bay,01/16/13,48.475,-123.075,7.84
False Bay,01/17/13,48.475,-123.075,7.01
False Bay,01/18/13,48.475,-123.075,7.46
False Bay,01/19/13,48.475,-123.075,7.6
False Bay,01/20/13,48.475,-123.075,7.49
False Bay,01/21/13,48.475,-123.075,7.66
False Bay,01/22/13,48.475,-123.075,7.79
False Bay,01/23/13,48.475,-123.075,7.98
False Bay,01/24/13,48.475,-123.075,7.13
False Bay,01/25/13,48.475,-123.075,7.85
False Bay,01/26/13,48.475,-123.075,6.4
False Bay,01/27/13,48.475,-123.075,5.93
False Bay,01/28/13,48.475,-123.075,6.58
False Bay,01/29/13,48.475,-123.075,6.75
False Bay,01/30/13,48.475,-123.075,7.19
False Bay,01/31/13,48.475,-123.075,7.42
False Bay,02/01/13,48.475,-123.075,7.37
False Bay,02/02/13,48.475,-123.075,7.28
False Bay,02/03/13,48.475,-123.075,7.37
False Bay,02/04/13,48.475,-123.075,7.39
False Bay,02/05/13,48.475,-123.075,7.38
False Bay,02/06/13,48.475,-123.075,7.28
False Bay,02/07/13,48.475,-123.075,7.43
False Bay,02/08/13,48.475,-123.075,7.08
False Bay,02/09/13,48.475,-123.075,7.06
False Bay,02/10/13,48.475,-123.075,6.99
False Bay,02/11/13,48.475,-123.075,7.22
False Bay,02/12/13,48.475,-123.075,7.37
False Bay,02/13/13,48.475,-123.075,6.46
False Bay,02/14/13,48.475,-123.075,7.01
False Bay,02/15/13,48.475,-123.075,7.38
False Bay,02/16/13,48.475,-123.075,7.13
