site,date,latitude,longitude,SST
Fisherman Bay,12/01/12,48.525,-122.925,8.64
Fisherman Bay,12/02/12,48.525,-122.925,9.17
Fisherman Bay,12/03/12,48.525,-122.925,8.84
Fisherman Bay,12/04/12,48.525,-122.925,8.93
Fisherman Bay,12/05/12,48.525,-122.925,7.45
Fisherman Bay,12/06/12,48.525,-122.925,8.74
Fisherman Bay,12/07/12,48.525,-122.925,7.05
Fisherman Bay,12/08/12,48.525,-122.925,8.41
Fisherman Bay,12/09/12,48.525,-122.925,8.57
Fisherman Bay,12/10/12,48.525,-122.925,8.64
Fisherman Bay,12/11/12,48.525,-122.925,8.67
Fisherman Bay,12/12/12,48.525,-122.925,8.39
Fisherman Bay,12/13/12,48.525,-122.925,8.67
Fisherman Bay,12/14/12,48.525,-122.925,6.41
Fisherman Bay,12/15/12,48.525,-122.925,8.17
Fisherman Bay,12/16/12,48.525,-122.925,8.19
Fisherman Bay,12/17/12,48.525,-122.925,8.4
Fisherman Bay,12/18/12,48.525,-122.925,7.85
Fisherman Bay,12/19/12,48.525,-122.925,8.16
Fisherman Bay,12/20/12,48.525,-122.925,8.18
Fisherman Bay,12/21/12,48.525,-122.925,8.09
Fisherman Bay,12/22/12,48.525,-122.925,8.24
Fisherman Bay,12/23/12,48.525,-122.925,8.18
Fisherman Bay,12/24/12,48.525,-122.925,8.2
Fisherman Bay,12/25/12,48.525,-122.925,8.11
Fisherman Bay,12/26/12,48.525,-122.925,8.08
Fisherman Bay,12/27/12,48.525,-122.925,7.94
Fisherman Bay,12/28/12,48.525,-122.925,7.74
Fisherman Bay,12/29/12,48.525,-122.925,8.14
Fisherman Bay,12/30/12,48.525,-122.925,6.98
Fisherman Bay,12/31/12,48.525,-122.925,7.91
Fisherman Bay,01/01/13,48.525,-122.925,7.62
Fisherman Bay,01/02/13,48.525,-122.925,6.42
Fisherman Bay,01/03/13,48.525,-122.925,6.2
Fisherman Bay,01/04/13,48.525,-122.925,6.64
Fisherman Bay,01/05/13,48.525,-122.925,7.75
Fisherman Bay,01/06/13,48.525,-122.925,7.85
Fisherman Bay,01/07/13,48.525,-122.925,7.84
Fisherman Bay,01/08/13,48.525,-122.925,7.86
Fisherman Bay,01/09/13,48.525,-122.925,7.88
Fisherman Bay,01/10/13,48.525,-122.925,7.58
