site,date,latitude,longitude,SST
Indian Cove,12/01/12,48.565,-122.925,8.63
Indian Cove,12/02/12,48.565,-122.925,9.13
Indian Cove,12/03/12,48.565,-122.925,8.61
Indian Cove,12/04/12,48.565,-122.925,8.8
Indian Cove,12/05/12,48.565,-122.925,7.15
Indian Cove,12/06/12,48.565,-122.925,8.53
Indian Cove,12/07/12,48.565,-122.925,6.79
Indian Cove,12/08/12,48.565,-122.925,8.21
Indian Cove,12/09/12,48.565,-122.925,8.47
Indian Cove,12/10/12,48.565,-122.925,8.52
Indian Cove,12/11/12,48.565,-122.925,8.6
Indian Cove,12/12/12,48.565,-122.925,8.35
Indian Cove,12/13/12,48.565,-122.925,8.59
Indian Cove,12/14/12,48.565,-122.925,6.09
Indian Cove,12/15/12,48.565,-122.925,8.09
Indian Cove,12/16/12,48.565,-122.925,8.19
Indian Cove,12/17/12,48.565,-122.925,8.41
Indian Cove,12/18/12,48.565,-122.925,8.01
Indian Cove,12/19/12,48.565,-122.925,8.07
Indian Cove,12/20/12,48.565,-122.925,8.15
Indian Cove,12/21/12,48.565,-122.925,8.1
Indian Cove,12/22/12,48.565,-122.925,8.2
Indian Cove,12/23/12,48.565,-122.925,8.13
Indian Cove,12/24/12,48.565,-122.925,8.11
Indian Cove,12/25/12,48.565,-122.925,8.1
Indian Cove,12/26/12,48.565,-122.925,8.11
Indian Cove,12/27/12,48.565,-122.925,7.69
Indian Cove,12/28/12,48.565,-122.925,7.69
Indian Cove,12/29/12,48.565,-122.925,8.12
Indian Cove,12/30/12,48.565,-122.925,6.3
Indian Cove,12/31/12,48.565,-122.925,7.8
Indian Cove,01/01/13,48.565,-122.925,7.46
Indian Cove,01/02/13,48.565,-122.925,6.46
Indian Cove,01/03/13,48.565,-122.925,5.95
Indian Cove,01/04/13,48.565,-122.925,6.5
Indian Cove,01/05/13,48.565,-122.925,7.6
Indian Cove,01/06/13,48.565,-122.925,7.82
Indian Cove,01/07/13,48.565,-122.925,7.86
Indian Cove,01/08/13,48.565,-122.925,7.84
Indian Cove,01/09/13,48.565,-122.925,7.85
Indian Cove,01/10/13,48.565,-122.925,7.41
Indian Cove,01/11/13,48.565,-122.925,6.69
Indian Cove,01/12/13,48.565,-122.925,6.96
Indian Cove,01/13/13,48.565,-122.925,5.97
Indian Cove,01/14/13,48.565,-122.925,7.18
