site,date,latitude,longitude,SST
Mosquito Pass,12/01/12,48.585,-123.165,8.76
Mosquito Pass,12/02/12,48.585,-123.165,8.42
Mosquito Pass,12/03/12,48.585,-123.165,8.53
Mosquito Pass,12/04/12,48.585,-123.165,8.54
Mosquito Pass,12/05/12,48.585,-123.165,6.37
Mosquito Pass,12/06/12,48.585,-123.165,7.53
Mosquito Pass,12/07/12,48.585,-123.165,6.87
Mosquito Pass,12/08/12,48.585,-123.165,7.7
Mosquito Pass,12/09/12,48.585,-123.165,7.82
Mosquito Pass,12/10/12,48.585,-123.165,6.13
Mosquito Pass,12/11/12,48.585,-123.165,7.33
Mosquito Pass,12/12/12,48.585,-123.165,8
Mosquito Pass,12/13/12,48.585,-123.165,8
Mosquito Pass,12/14/12,48.585,-123.165,8.8
Mosquito Pass,12/15/12,48.585,-123.165,10.3
Mosquito Pass,12/16/12,48.585,-123.165,8.3
Mosquito Pass,12/17/12,48.585,-123.165,8.37
Mosquito Pass,12/18/12,48.585,-123.165,8.04
Mosquito Pass,12/19/12,48.585,-123.165,7.55
Mosquito Pass,12/20/12,48.585,-123.165,7.67
Mosquito Pass,12/21/12,48.585,-123.165,7.06
Mosquito Pass,12/22/12,48.585,-123.165,7.91
Mosquito Pass,12/23/12,48.585,-123.165,7.97
Mosquito Pass,12/24/12,48.585,-123.165,8.03
Mosquito Pass,12/25/12,48.585,-123.165,8.06
Mosquito Pass,12/26/12,48.585,-123.165,8.01
Mosquito Pass,12/27/12,48.585,-123.165,7.84
Mosquito Pass,12/28/12,48.585,-123.165,8.22
Mosquito Pass,12/29/12,48.585,-123.165,8.12
Mosquito Pass,12/30/12,48.585,-123.165,8.16
Mosquito Pass,12/31/12,48.585,-123.165,8.06
Mosquito Pass,01/01/13,48.585,-123.165,7.01
Mosquito Pass,01/02/13,48.585,-123.165,6.22
Mosquito Pass,01/03/13,48.585,-123.165,6.71
Mosquito Pass,01/04/13,48.585,-123.165,7.01
Mosquito Pass,01/05/13,48.585,-123.165,7.21
Mosquito Pass,01/06/13,48.585,-123.165,6.6
Mosquito Pass,01/07/13,48.585,-123.165,7.13
Mosquito Pass,01/08/13,48.585,-123.165,7.19
Mosquito Pass,01/09/13,48.585,-123.165,7.23
Mosquito Pass,01/10/13,48.585,-123.165,6.34
Mosquito Pass,01/11/13,48.585,-123.165,7.83
Mosquito Pass,01/12/13,48.585,-123.165,7.77
Mosquito Pass,01/13/13,48.585,-123.165,6.41
Mosquito Pass,01/14/13,48.585,-123.165,6.55
Mosquito Pass,01/15/13,48.585,-123.165,6.74
Mosquito Pass,01/16/13,48.585,-123.165,7.43
Mosquito Pass,01/17/13,48.585,-123.165,6.53
Mosquito Pass,01/18/13,48.585,-123.165,6.72
Mosquito Pass,01/19/13,48.585,-123.165,6.68
Mosquito Pass,01/20/13,48.585,-123.165,8.04
Mosquito Pass,01/21/13,48.585,-123.165,8.06
Mosquito Pass,01/22/13,48.585,-123.165,8.85
Mosquito Pass,01/23/13,48.585,-123.165,8.78
Mosquito Pass,01/24/13,48.585,-123.165,7.15
Mosquito Pass,01/25/13,48.585,-123.165,6.72
Mosquito Pass,01/26/13,48.585,-123.165,6.25
Mosquito Pass,01/27/13,48.585,-123.165,5.19
Mosquito Pass,01/28/13,48.585,-123.165,6.11
Mosquito Pass,01/29/13,48.585,-123.165,6.14
Mosquito Pass,01/30/13,48.585,-123.165,6.47
Mosquito Pass,01/31/13,48.585,-123.165,6.64
Mosquito Pass,02/01/13,48.585,-123.165,6.93
Mosquito Pass,02/02/13,48.585,-123.165,7.1
Mosquito Pass,02/03/13,48.585,-123.165,7.36
Mosquito Pass,02/04/13,48.585,-123.165,7.26
Mosquito Pass,02/05/13,48.585,-123.165,7.25
Mosquito Pass,02/06/13,48.585,-123.165,7.17
Mosquito Pass,02/07/13,48.585,-123.165,6.28
Mosquito Pass,02/08/13,48.585,-123.165,6.41
Mosquito Pass,02/09/13,48.585,-123.165,6.8
Mosquito Pass,02/10/13,48.585,-123.165,5.44
Mosquito Pass,02/11/13,48.585,-123.165,6.48
Mosquito Pass,02/12/13,48.585,-123.165,6.74
Mosquito Pass,02/13/13,48.585,-123.165,6.49
Mosquito Pass,02/14/13,48.585,-123.165,6.78
Mosquito Pass,02/15/13,48.585,-123.165,7.24
Mosquito Pass,02/16/13,48.585,-123.165,6.44
Mosquito Pass,02/17/13,48.585,-123.165,5.74
Mosquito Pass,02/18/13,48.585,-123.165,5.95
Mosquito Pass,02/19/13,48.585,-123.165,7.53
Mosquito Pass,02/20/13,48.585,-123.165,6.48
Mosquito Pass,02/21/13,48.585,-123.165,6.93
Mosquito Pass,02/22/13,48.585,-123.165,5.43
Mosquito Pass,02/23/13,48.585,-123.165,6.29
Mosquito Pass,02/24/13,48.585,-123.165,6.7
Mosquito Pass,02/25/13,48.585,-123.165,7.79
Mosquito Pass,02/26/13,48.585,-123.165,6.38
Mosquito Pass,02/27/13,48.585,-123.165,6.24
Mosquito Pass,02/28/13,48.585,-123.165,6.52
Mosquito Pass,03/01/13,48.585,-123.165,6.74
