site,date,latitude,longitude,SST
North Cove,12/01/12,48.725,-123.025,8.25
North Cove,12/02/12,48.725,-123.025,8.14
North Cove,12/03/12,48.725,-123.025,7.59
North Cove,12/04/12,48.725,-123.025,8.16
North Cove,12/05/12,48.725,-123.025,6.56
North Cove,12/06/12,48.725,-123.025,7.13
North Cove,12/07/12,48.725,-123.025,7.18
North Cove,12/08/12,48.725,-123.025,7.38
North Cove,12/09/12,48.725,-123.025,7.62
North Cove,12/10/12,48.725,-123.025,7.7
North Cove,12/11/12,48.725,-123.025,7.73
North Cove,12/12/12,48.725,-123.025,7.73
North Cove,12/13/12,48.725,-123.025,7.84
North Cove,12/14/12,48.725,-123.025,8.01
North Cove,12/15/12,48.725,-123.025,8.72
North Cove,12/16/12,48.725,-123.025,8.9
North Cove,12/17/12,48.725,-123.025,8.72
North Cove,12/18/12,48.725,-123.025,6.03
North Cove,12/19/12,48.725,-123.025,7.27
North Cove,12/20/12,48.725,-123.025,7.65
North Cove,12/21/12,48.725,-123.025,7.82
North Cove,12/22/12,48.725,-123.025,7.9
North Cove,12/23/12,48.725,-123.025,7.94
North Cove,12/24/12,48.725,-123.025,7.9
North Cove,12/25/12,48.725,-123.025,7.88
North Cove,12/26/12,48.725,-123.025,7.87
North Cove,12/27/12,48.725,-123.025,7.87
North Cove,12/28/12,48.725,-123.025,7.67
North Cove,12/29/12,48.725,-123.025,7.75
North Cove,12/30/12,48.725,-123.025,7.26
North Cove,12/31/12,48.725,-123.025,7.31
North Cove,01/01/13,48.725,-123.025,7.65
North Cove,01/02/13,48.725,-123.025,6.36
North Cove,01/03/13,48.725,-123.025,6.31
North Cove,01/04/13,48.725,-123.025,6.37
North Cove,01/05/13,48.725,-123.025,6.64
North Cove,01/06/13,48.725,-123.025,7.74
North Cove,01/07/13,48.725,-123.025,7.14
North Cove,01/08/13,48.725,-123.025,7.08
North Cove,01/09/13,48.725,-123.025,7.11
North Cove,01/10/13,48.725,-123.025,6.11
North Cove,01/11/13,48.725,-123.025,7.89
North Cove,01/12/13,48.725,-123.025,7.53
North Cove,01/13/13,48.725,-123.025,5.33
North Cove,01/14/13,48.725,-123.025,5.95
North Cove,01/15/13,48.725,-123.025,6.36
North Cove,01/16/13,48.725,-123.025,6.42
North Cove,01/17/13,48.725,-123.025,6.54
North Cove,01/18/13,48.725,-123.025,6.05
North Cove,01/19/13,48.725,-123.025,6.24
North Cove,01/20/13,48.725,-123.025,7.32
North Cove,01/21/13,48.725,-123.025,7.33
North Cove,01/22/13,48.725,-123.025,7.4
North Cove,01/23/13,48.725,-123.025,8.97
North Cove,01/24/13,48.725,-123.025,7.02
North Cove,01/25/13,48.725,-123.025,6.9
North Cove,01/26/13,48.725,-123.025,5.94
North Cove,01/27/13,48.725,-123.025,6.08
North Cove,01/28/13,48.725,-123.025,6.3
North Cove,01/29/13,48.725,-123.025,6.45
North Cove,01/30/13,48.725,-123.025,6.6
North Cove,01/31/13,48.725,-123.025,6.75
North Cove,02/01/13,48.725,-123.025,6.53
North Cove,02/02/13,48.725,-123.025,7.24
North Cove,02/03/13,48.725,-123.025,7.14
North Cove,02/04/13,48.725,-123.025,7.18
North Cove,02/05/13,48.725,-123.025,7.17
North Cove,02/06/13,48.725,-123.025,7.11
North Cove,02/07/13,48.725,-123.025,7.52
North Cove,02/08/13,48.725,-123.025,6.87
North Cove,02/09/13,48.725,-123.025,6.95
North Cove,02/10/13,48.725,-123.025,6.79
North Cove,02/11/13,48.725,-123.025,6.84
North Cove,02/12/13,48.725,-123.025,6.99
North Cove,02/13/13,48.725,-123.025,7.25
North Cove,02/14/13,48.725,-123.025,7
North Cove,02/15/13,48.725,-123.025,7.18
North Cove,02/16/13,48.725,-123.025,6.56
North Cove,02/17/13,48.725,-123.025,6.17
North Cove,02/18/13,48.725,-123.025,6.5
North Cove,02/19/13,48.725,-123.025,6.4
North Cove,02/20/13,48.725,-123.025,6.81
North Cove,02/21/13,48.725,-123.025,7.13
North Cove,02/22/13,48.725,-123.025,6.39
North Cove,02/23/13,48.725,-123.025,7.24
North Cove,02/24/13,48.725,-123.025,6.93
North Cove,02/25/13,48.725,-123.025,6.92
North Cove,02/26/13,48.725,-123.025,6.4
North Cove,02/27/13,48.725,-123.025,6.6
North Cove,02/28/13,48.725,-123.025,6.52
North Cove,03/01/13,48.725,-123.025,6.82
North Cove,03/02/13,48.725,-123.025,7.68
North Cove,03/03/13,48.725,-123.025,6.93
North Cove,03/04/13,48.725,-123.025,6.33
North Cove,03/05/13,48.725,-123.025,6.55
North Cove,03/06/13,48.725,-123.025,6.76
