site,date,latitude,longitude,SST
Picnic Cove,12/01/12,48.565,-122.925,8.63
Picnic Cove,12/02/12,48.565,-122.925,9.13
Picnic Cove,12/03/12,48.565,-122.925,8.61
Picnic Cove,12/04/12,48.565,-122.925,8.8
Picnic Cove,12/05/12,48.565,-122.925,7.15
Picnic Cove,12/06/12,48.565,-122.925,8.53
Picnic Cove,12/07/12,48.565,-122.925,6.79
Picnic Cove,12/08/12,48.565,-122.925,8.21
Picnic Cove,12/09/12,48.565,-122.925,8.47
Picnic Cove,12/10/12,48.565,-122.925,8.52
Picnic Cove,12/11/12,48.565,-122.925,8.6
Picnic Cove,12/12/12,48.565,-122.925,8.35
Picnic Cove,12/13/12,48.565,-122.925,8.59
Picnic Cove,12/14/12,48.565,-122.925,6.09
Picnic Cove,12/15/12,48.565,-122.925,8.09
Picnic Cove,12/16/12,48.565,-122.925,8.19
Picnic Cove,12/17/12,48.565,-122.925,8.41
Picnic Cove,12/18/12,48.565,-122.925,8.01
Picnic Cove,12/19/12,48.565,-122.925,8.07
Picnic Cove,12/20/12,48.565,-122.925,8.15
Picnic Cove,12/21/12,48.565,-122.925,8.1
Picnic Cove,12/22/12,48.565,-122.925,8.2
Picnic Cove,12/23/12,48.565,-122.925,8.13
Picnic Cove,12/24/12,48.565,-122.925,8.11
Picnic Cove,12/25/12,48.565,-122.925,8.1
Picnic Cove,12/26/12,48.565,-122.925,8.11
Picnic Cove,12/27/12,48.565,-122.925,7.69
Picnic Cove,12/28/12,48.565,-122.925,7.69
Picnic Cove,12/29/12,48.565,-122.925,8.12
Picnic Cove,12/30/12,48.565,-122.925,6.3
Picnic Cove,12/31/12,48.565,-122.925,7.8
Picnic Cove,01/01/13,48.565,-122.925,7.46
Picnic Cove,01/02/13,48.565,-122.925,6.46
Picnic Cove,01/03/13,48.565,-122.925,5.95
Picnic Cove,01/04/13,48.565,-122.925,6.5
Picnic Cove,01/05/13,48.565,-122.925,7.6
Picnic Cove,01/06/13,48.565,-122.925,7.82
Picnic Cove,01/07/13,48.565,-122.925,7.86
Picnic Cove,01/08/13,48.565,-122.925,7.84
Picnic Cove,01/09/13,48.565,-122.925,7.85
Picnic Cove,01/10/13,48.565,-122.925,7.41
Picnic Cove,01/11/13,48.565,-122.925,6.69
Picnic Cove,01/12/13,48.565,-122.925,6.96
Picnic Cove,01/13/13,48.565,-122.925,5.97
Picnic Cove,01/14/13,48.565,-122.925,7.18
Picnic Cove,01/15/13,48.565,-122.925,7.4
Picnic Cove,01/16/13,48.565,-122.925,7.61
Picnic Cove,01/17/13,48.565,-122.925,6.84
Picnic Cove,01/18/13,48.565,-122.925,7.51
Picnic Cove,01/19/13,48.565,-122.925,6.56
Picnic Cove,01/20/13,48.565,-122.925,8.34
Picnic Cove,01/21/13,48.565,-122.925,7.88
Picnic Cove,01/22/13,48.565,-122.925,7.66
Picnic Cove,01/23/13,48.565,-122.925,7.83
Picnic Cove,01/24/13,48.565,-122.925,7.02
Picnic Cove,01/25/13,48.565,-122.925,7.59
Picnic Cove,01/26/13,48.565,-122.925,6.76
Picnic Cove,01/27/13,48.565,-122.925,6.52
Picnic Cove,01/28/13,48.565,-122.925,7.45
Picnic Cove,01/29/13,48.565,-122.925,7.01
Picnic Cove,01/30/13,48.565,-122.925,7.48
Picnic Cove,01/31/13,48.565,-122.925,7.51
Picnic Cove,02/01/13,48.565,-122.925,6.12
Picnic Cove,02/02/13,48.565,-122.925,6.98
Picnic Cove,02/03/13,48.565,-122.925,7.57
Picnic Cove,02/04/13,48.565,-122.925,7.61
Picnic Cove,02/05/13,48.565,-122.925,7.6
Picnic Cove,02/06/13,48.565,-122.925,7.49
Picnic Cove,02/07/13,48.565,-122.925,9.6
Picnic Cove,02/08/13,48.565,-122.925,7.27
Picnic Cove,02/09/13,48.565,-122.925,6.81
Picnic Cove,02/10/13,48.565,-122.925,7.47
Picnic Cove,02/11/13,48.565,-122.925,7.48
Picnic Cove,02/12/13,48.565,-122.925,7.55
Picnic Cove,02/13/13,48.565,-122.925,6.48
Picnic Cove,02/14/13,48.565,-122.925,7.27
Picnic Cove,02/15/13,48.565,-122.925,7.91
Picnic Cove,02/16/13,48.565,-122.925,7.72
Picnic Cove,02/17/13,48.565,-122.925,7.32
Picnic Cove,02/18/13,48.565,-122.925,6.82
Picnic Cove,02/19/13,48.565,-122.925,8.15
Picnic Cove,02/20/13,48.565,-122.925,5.89
Picnic Cove,02/21/13,48.565,-122.925,7.16
Picnic Cove,02/22/13,48.565,-122.925,7.45
Picnic Cove,02/23/13,48.565,-122.925,6.27
Picnic Cove,02/24/13,48.565,-122.925,7.06
Picnic Cove,02/25/13,48.565,-122.925,7.41
Picnic Cove,02/26/13,48.565,-122.925,6.67
Picnic Cove,02/27/13,48.565,-122.925,6.03
Picnic Cove,02/28/13,48.565,-122.925,7.19
Picnic Cove,03/01/13,48.565,-122.925,7.33
Picnic Cove,03/02/13,48.565,-122.925,7.51
Picnic Cove,03/03/13,48.565,-122.925,7.85
Picnic Cove,03/04/13,48.565,-122.925,5.68
Picnic Cove,03/05/13,48.565,-122.925,7.04
Picnic Cove,03/06/13,48.565,-122.925,7.36
Picnic Cove,03/07/13,48.565,-122.925,7.36
Picnic Cove,03/08/13,48.565,-122.925,7.19
Picnic Cove,03/09/13,48.565,-122.925,7.76
Picnic Cove,03/10/13,48.565,-122.925,6.87
Picnic Cove,03/11/13,48.565,-122.925,7.06
Picnic Cove,03/12/13,48.565,-122.925,6.64
Picnic Cove,03/13/13,48.565,-122.925,6.75
Picnic Cove,03/14/13,48.565,-122.925,7.44
Picnic Cove,03/15/13,48.565,-122.925,8.66
Picnic Cove,03/16/13,48.565,-122.925,8.14
Picnic Cove,03/17/13,48.565,-122.925,7.52
Picnic Cove,03/18/13,48.565,-122.925,6.38
Picnic Cove,03/19/13,48.565,-122.925,7.74
Picnic Cove,03/20/13,48.565,-122.925,7.91
Picnic Cove,03/21/13,48.565,-122.925,8.28
Picnic Cove,03/22/13,48.565,-122.925,6.67
Picnic Cove,03/23/13,48.565,-122.925,7.66
Picnic Cove,03/24/13,48.565,-122.925,6.68
Picnic Cove,03/25/13,48.565,-122.925,7.74
Picnic Cove,03/26/13,48.565,-122.925,7.14
Picnic Cove,03/27/13,48.565,-122.925,9.02
Picnic Cove,03/28/13,48.565,-122.925,9.06
Picnic Cove,03/29/13,48.565,-122.925,9
Picnic Cove,03/30/13,48.565,-122.925,9.64
Picnic Cove,03/31/13,48.565,-122.925,8.8
Picnic Cove,04/01/13,48.565,-122.925,9.5
Picnic Cove,04/02/13,48.565,-122.925,8.76
Picnic Cove,04/03/13,48.565,-122.925,8.92
Picnic Cove,04/04/13,48.565,-122.925,8.17
Picnic Cove,04/05/13,48.565,-122.925,8.16
Picnic Cove,04/06/13,48.565,-122.925,8.59
Picnic Cove,04/07/13,48.565,-122.925,8.48
Picnic Cove,04/08/13,48.565,-122.925,8.29
Picnic Cove,04/09/13,48.565,-122.925,8.23
Picnic Cove,04/10/13,48.565,-122.925,8.46
Picnic Cove,04/11/13,48.565,-122.925,8.13
Picnic Cove,04/12/13,48.565,-122.925,8.07
Picnic Cove,04/13/13,48.565,-122.925,7.47
Picnic Cove,04/14/13,48.565,-122.925,7.94
Picnic Cove,04/15/13,48.565,-122.925,7.2
Picnic Cove,04/16/13,48.565,-122.925,7.95
Picnic Cove,04/17/13,48.565,-122.925,8.37
Picnic Cove,04/18/13,48.565,-122.925,8.39
Picnic Cove,04/19/13,48.565,-122.925,8.44
Picnic Cove,04/20/13,48.565,-122.925,8.03
Picnic Cove,04/21/13,48.565,-122.925,10.39
Picnic Cove,04/22/13,48.565,-122.925,8.63
Picnic Cove,04/23/13,48.565,-122.925,9.51
Picnic Cove,04/24/13,48.565,-122.925,9.48
Picnic Cove,04/25/13,48.565,-122.925,10.12
Picnic Cove,04/26/13,48.565,-122.925,9.3
Picnic Cove,04/27/13,48.565,-122.925,8.74
Picnic Cove,04/28/13,48.565,-122.925,8.56
Picnic Cove,04/29/13,48.565,-122.925,6.99
Picnic Cove,04/30/13,48.565,-122.925,9.22
Picnic Cove,05/01/13,48.565,-122.925,9.39
Picnic Cove,05/02/13,48.565,-122.925,9.18
Picnic Cove,05/03/13,48.565,-122.925,10
Picnic Cove,05/04/13,48.565,-122.925,11.48
Picnic Cove,05/05/13,48.565,-122.925,12.03
Picnic Cove,05/06/13,48.565,-122.925,10.19
Picnic Cove,05/07/13,48.565,-122.925,12.15
Picnic Cove,05/08/13,48.565,-122.925,10.89
Picnic Cove,05/09/13,48.565,-122.925,10.83
Picnic Cove,05/10/13,48.565,-122.925,11.8
Picnic Cove,05/11/13,48.565,-122.925,11.47
Picnic Cove,05/12/13,48.565,-122.925,9.69
Picnic Cove,05/13/13,48.565,-122.925,9.43
Picnic Cove,05/14/13,48.565,-122.925,9.63
Picnic Cove,05/15/13,48.565,-122.925,11.13
Picnic Cove,05/16/13,48.565,-122.925,11.43
Picnic Cove,05/17/13,48.565,-122.925,11.13
Picnic Cove,05/18/13,48.565,-122.925,9.74
Picnic Cove,05/19/13,48.565,-122.925,11.72
Picnic Cove,05/20/13,48.565,-122.925,11.09
Picnic Cove,05/21/13,48.565,-122.925,9.98
Picnic Cove,05/22/13,48.565,-122.925,10.32
Picnic Cove,05/23/13,48.565,-122.925,11.26
Picnic Cove,05/24/13,48.565,-122.925,12.35
Picnic Cove,05/25/13,48.565,-122.925,10.51
Picnic Cove,05/26/13,48.565,-122.925,11.35
Picnic Cove,05/27/13,48.565,-122.925,9.74
Picnic Cove,05/28/13,48.565,-122.925,9.21
Picnic Cove,05/29/13,48.565,-122.925,9.25
Picnic Cove,05/30/13,48.565,-122.925,9.05
Picnic Cove,05/31/13,48.565,-122.925,11.6
Picnic Cove,06/01/13,48.565,-122.925,12.16
Picnic Cove,06/02/13,48.565,-122.925,12.93
Picnic Cove,06/03/13,48.565,-122.925,11.9
Picnic Cove,06/04/13,48.565,-122.925,13.15
Picnic Cove,06/05/13,48.565,-122.925,12.93
Picnic Cove,06/06/13,48.565,-122.925,11.32
Picnic Cove,06/07/13,48.565,-122.925,12.08
Picnic Cove,06/08/13,48.565,-122.925,11.93
Picnic Cove,06/09/13,48.565,-122.925,13.24
Picnic Cove,06/10/13,48.565,-122.925,12.52
Picnic Cove,06/11/13,48.565,-122.925,12.46
Picnic Cove,06/12/13,48.565,-122.925,10.28
Picnic Cove,06/13/13,48.565,-122.925,12.04
Picnic Cove,06/14/13,48.565,-122.925,12.25
Picnic Cove,06/15/13,48.565,-122.925,10.78
Picnic Cove,06/16/13,48.565,-122.925,11.54
Picnic Cove,06/17/13,48.565,-122.925,13.67
Picnic Cove,06/18/13,48.565,-122.925,13.99
Picnic Cove,06/19/13,48.565,-122.925,14.01
Picnic Cove,06/20/13,48.565,-122.925,11.84
Picnic Cove,06/21/13,48.565,-122.925,12.11
Picnic Cove,06/22/13,48.565,-122.925,12.44
Picnic Cove,06/23/13,48.565,-122.925,12.84
Picnic Cove,06/24/13,48.565,-122.925,10.78
Picnic Cove,06/26/13,48.565,-122.925,172.2
Picnic Cove,06/27/13,48.565,-122.925,10.49
Picnic Cove,06/28/13,48.565,-122.925,11.71
