site,date,latitude,longitude,SST
Ship Harbor,12/01/12,48.505,-122.675,6.35
Ship Harbor,12/02/12,48.505,-122.675,7.87
Ship Harbor,12/03/12,48.505,-122.675,8.16
Ship Harbor,12/04/12,48.505,-122.675,8.44
Ship Harbor,12/05/12,48.505,-122.675,7.37
Ship Harbor,12/06/12,48.505,-122.675,7.88
Ship Harbor,12/07/12,48.505,-122.675,6.52
Ship Harbor,12/08/12,48.505,-122.675,7.27
Ship Harbor,12/09/12,48.505,-122.675,7.45
Ship Harbor,12/10/12,48.505,-122.675,7.61
Ship Harbor,12/11/12,48.505,-122.675,7.75
Ship Harbor,12/12/12,48.505,-122.675,7.86
Ship Harbor,12/13/12,48.505,-122.675,7.96
Ship Harbor,12/14/12,48.505,-122.675,5.85
Ship Harbor,12/15/12,48.505,-122.675,6.95
Ship Harbor,12/16/12,48.505,-122.675,7.82
Ship Harbor,12/17/12,48.505,-122.675,7.63
Ship Harbor,12/18/12,48.505,-122.675,6.61
Ship Harbor,12/19/12,48.505,-122.675,6.86
Ship Harbor,12/20/12,48.505,-122.675,7.09
Ship Harbor,12/21/12,48.505,-122.675,7.45
Ship Harbor,12/22/12,48.505,-122.675,8.03
Ship Harbor,12/23/12,48.505,-122.675,8.06
Ship Harbor,12/24/12,48.505,-122.675,6.63
Ship Harbor,12/25/12,48.505,-122.675,7.36
Ship Harbor,12/26/12,48.505,-122.675,7.35
Ship Harbor,12/27/12,48.505,-122.675,8.14
Ship Harbor,12/28/12,48.505,-122.675,8.33
Ship Harbor,12/29/12,48.505,-122.675,8.36
Ship Harbor,12/30/12,48.505,-122.675,6.84
Ship Harbor,12/31/12,48.505,-122.675,7.19
Ship Harbor,01/01/13,48.505,-122.675,6.68
Ship Harbor,01/02/13,48.505,-122.675,6.28
Ship Harbor,01/03/13,48.505,-122.675,6.1
Ship Harbor,01/04/13,48.505,-122.675,6.34
Ship Harbor,01/05/13,48.505,-122.675,6.37
Ship Harbor,01/06/13,48.505,-122.675,6.45
Ship Harbor,01/07/13,48.505,-122.675,6.54
Ship Harbor,01/08/13,48.505,-122.675,6.6
Ship Harbor,01/09/13,48.505,-122.675,6.76
Ship Harbor,01/10/13,48.505,-122.675,6.19
Ship Harbor,01/11/13,48.505,-122.675,7.16
Ship Harbor,01/12/13,48.505,-122.675,7.22
Ship Harbor,01/13/13,48.505,-122.675,5.7
Ship Harbor,01/14/13,48.505,-122.675,5.54
Ship Harbor,01/15/13,48.505,-122.675,5.14
Ship Harbor,01/16/13,48.505,-122.675,6.42
Ship Harbor,01/17/13,48.505,-122.675,6.53
Ship Harbor,01/18/13,48.505,-122.675,7.07
Ship Harbor,01/19/13,48.505,-122.675,6.43
Ship Harbor,01/20/13,48.505,-122.675,7.37
Ship Harbor,01/21/13,48.505,-122.675,7.5
Ship Harbor,01/22/13,48.505,-122.675,8.23
Ship Harbor,01/23/13,48.505,-122.675,8.07
Ship Harbor,01/24/13,48.505,-122.675,7.53
Ship Harbor,01/25/13,48.505,-122.675,6.68
Ship Harbor,01/26/13,48.505,-122.675,6.98
Ship Harbor,01/27/13,48.505,-122.675,6.66
Ship Harbor,01/28/13,48.505,-122.675,6.64
Ship Harbor,01/29/13,48.505,-122.675,6.68
Ship Harbor,01/30/13,48.505,-122.675,6.76
Ship Harbor,01/31/13,48.505,-122.675,6.84
Ship Harbor,02/01/13,48.505,-122.675,5.21
Ship Harbor,02/02/13,48.505,-122.675,7.29
Ship Harbor,02/03/13,48.505,-122.675,7.28
Ship Harbor,02/04/13,48.505,-122.675,7.3
Ship Harbor,02/05/13,48.505,-122.675,7.38
Ship Harbor,02/06/13,48.505,-122.675,7.45
Ship Harbor,02/07/13,48.505,-122.675,6
Ship Harbor,02/08/13,48.505,-122.675,5.8
Ship Harbor,02/09/13,48.505,-122.675,6.16
Ship Harbor,02/10/13,48.505,-122.675,6.87
Ship Harbor,02/11/13,48.505,-122.675,6.85
Ship Harbor,02/12/13,48.505,-122.675,6.78
Ship Harbor,02/13/13,48.505,-122.675,6.63
Ship Harbor,02/14/13,48.505,-122.675,6.56
Ship Harbor,02/15/13,48.505,-122.675,6.98
Ship Harbor,02/16/13,48.505,-122.675,6.63
Ship Harbor,02/17/13,48.505,-122.675,7.2
Ship Harbor,02/18/13,48.505,-122.675,7.24
Ship Harbor,02/19/13,48.505,-122.675,6.18
Ship Harbor,02/20/13,48.505,-122.675,6.16
Ship Harbor,02/21/13,48.505,-122.675,6.07
Ship Harbor,02/22/13,48.505,-122.675,5.98
Ship Harbor,02/23/13,48.505,-122.675,6.04
Ship Harbor,02/24/13,48.505,-122.675,5.49
Ship Harbor,02/25/13,48.505,-122.675,6.44
Ship Harbor,02/26/13,48.505,-122.675,6.62
Ship Harbor,02/27/13,48.505,-122.675,6.46
Ship Harbor,02/28/13,48.505,-122.675,6.31
Ship Harbor,03/01/13,48.505,-122.675,6.28
Ship Harbor,03/02/13,48.505,-122.675,6.28
Ship Harbor,03/03/13,48.505,-122.675,5.01
Ship Harbor,03/04/13,48.505,-122.675,5.38
Ship Harbor,03/05/13,48.505,-122.675,5.67
Ship Harbor,03/06/13,48.505,-122.675,5.89
Ship Harbor,03/07/13,48.505,-122.675,6.09
Ship Harbor,03/08/13,48.505,-122.675,6.87
Ship Harbor,03/09/13,48.505,-122.675,7.04
Ship Harbor,03/10/13,48.505,-122.675,6
Ship Harbor,03/11/13,48.505,-122.675,6.22
Ship Harbor,03/12/13,48.505,-122.675,6.33
Ship Harbor,03/13/13,48.505,-122.675,6.5
Ship Harbor,03/14/13,48.505,-122.675,6.66
Ship Harbor,03/15/13,48.505,-122.675,7.7
Ship Harbor,03/16/13,48.505,-122.675,7.83
Ship Harbor,03/17/13,48.505,-122.675,7.4
Ship Harbor,03/18/13,48.505,-122.675,6.68
Ship Harbor,03/19/13,48.505,-122.675,6.46
Ship Harbor,03/20/13,48.505,-122.675,7.98
Ship Harbor,03/21/13,48.505,-122.675,6.81
Ship Harbor,03/22/13,48.505,-122.675,6.58
Ship Harbor,03/23/13,48.505,-122.675,7.87
Ship Harbor,03/24/13,48.505,-122.675,6.71
Ship Harbor,03/25/13,48.505,-122.675,7.34
Ship Harbor,03/26/13,48.505,-122.675,7.18
Ship Harbor,03/27/13,48.505,-122.675,7.32
Ship Harbor,03/28/13,48.505,-122.675,8.36
Ship Harbor,03/29/13,48.505,-122.675,8.36
Ship Harbor,03/30/13,48.505,-122.675,8.65
Ship Harbor,03/31/13,48.505,-122.675,8.68
Ship Harbor,04/01/13,48.505,-122.675,9.32
Ship Harbor,04/02/13,48.505,-122.675,8.91
Ship Harbor,04/03/13,48.505,-122.675,8.69
Ship Harbor,04/04/13,48.505,-122.675,8.24
Ship Harbor,04/05/13,48.505,-122.675,8.17
Ship Harbor,04/06/13,48.505,-122.675,8.71
Ship Harbor,04/07/13,48.505,-122.675,8.99
Ship Harbor,04/08/13,48.505,-122.675,8.78
Ship Harbor,04/09/13,48.505,-122.675,8.32
Ship Harbor,04/10/13,48.505,-122.675,7.64
Ship Harbor,04/11/13,48.505,-122.675,8.26
Ship Harbor,04/12/13,48.505,-122.675,8.09
Ship Harbor,04/13/13,48.505,-122.675,8.09
Ship Harbor,04/14/13,48.505,-122.675,8.66
Ship Harbor,04/15/13,48.505,-122.675,7.23
Ship Harbor,04/16/13,48.505,-122.675,7.9
Ship Harbor,04/17/13,48.505,-122.675,8.5
Ship Harbor,04/18/13,48.505,-122.675,8.6
Ship Harbor,04/19/13,48.505,-122.675,8.68
Ship Harbor,04/20/13,48.505,-122.675,8.95
Ship Harbor,04/21/13,48.505,-122.675,8.29
Ship Harbor,04/22/13,48.505,-122.675,8.52
Ship Harbor,04/23/13,48.505,-122.675,8.91
Ship Harbor,04/24/13,48.505,-122.675,8.95
