site,date,latitude,longitude,SST
Shoal Bay,12/01/12,48.555,-122.875,8.18
Shoal Bay,12/02/12,48.555,-122.875,9.25
Shoal Bay,12/03/12,48.555,-122.875,8.63
Shoal Bay,12/04/12,48.555,-122.875,8.7
Shoal Bay,12/05/12,48.555,-122.875,6.85
Shoal Bay,12/06/12,48.555,-122.875,8.14
Shoal Bay,12/07/12,48.555,-122.875,6.61
Shoal Bay,12/08/12,48.555,-122.875,7.69
Shoal Bay,12/09/12,48.555,-122.875,8.07
Shoal Bay,12/10/12,48.555,-122.875,8.22
Shoal Bay,12/11/12,48.555,-122.875,8.34
Shoal Bay,12/12/12,48.555,-122.875,8.26
Shoal Bay,12/13/12,48.555,-122.875,8.41
Shoal Bay,12/14/12,48.555,-122.875,5.77
Shoal Bay,12/15/12,48.555,-122.875,7.53
Shoal Bay,12/16/12,48.555,-122.875,7.69
Shoal Bay,12/17/12,48.555,-122.875,8.19
Shoal Bay,12/18/12,48.555,-122.875,7.34
Shoal Bay,12/19/12,48.555,-122.875,7.68
Shoal Bay,12/20/12,48.555,-122.875,7.84
Shoal Bay,12/21/12,48.555,-122.875,7.86
Shoal Bay,12/22/12,48.555,-122.875,8.07
Shoal Bay,12/23/12,48.555,-122.875,8.1
Shoal Bay,12/24/12,48.555,-122.875,7.91
Shoal Bay,12/25/12,48.555,-122.875,7.87
Shoal Bay,12/26/12,48.555,-122.875,7.89
Shoal Bay,12/27/12,48.555,-122.875,7.71
Shoal Bay,12/28/12,48.555,-122.875,7.76
Shoal Bay,12/29/12,48.555,-122.875,8.05
Shoal Bay,12/30/12,48.555,-122.875,5.85
Shoal Bay,12/31/12,48.555,-122.875,7.45
Shoal Bay,01/01/13,48.555,-122.875,6.96
Shoal Bay,01/02/13,48.555,-122.875,6.21
Shoal Bay,01/03/13,48.555,-122.875,5.99
Shoal Bay,01/04/13,48.555,-122.875,6.49
Shoal Bay,01/05/13,48.555,-122.875,7.23
Shoal Bay,01/06/13,48.555,-122.875,7.47
Shoal Bay,01/07/13,48.555,-122.875,7.52
Shoal Bay,01/08/13,48.555,-122.875,7.54
Shoal Bay,01/09/13,48.555,-122.875,7.57
Shoal Bay,01/10/13,48.555,-122.875,7.11
Shoal Bay,01/11/13,48.555,-122.875,6.49
Shoal Bay,01/12/13,48.555,-122.875,7.08
Shoal Bay,01/13/13,48.555,-122.875,5.92
Shoal Bay,01/14/13,48.555,-122.875,6.66
Shoal Bay,01/15/13,48.555,-122.875,6.7
Shoal Bay,01/16/13,48.555,-122.875,7.54
Shoal Bay,01/17/13,48.555,-122.875,6.87
Shoal Bay,01/18/13,48.555,-122.875,7.28
Shoal Bay,01/19/13,48.555,-122.875,6.12
Shoal Bay,01/20/13,48.555,-122.875,8.07
Shoal Bay,01/21/13,48.555,-122.875,7.89
Shoal Bay,01/22/13,48.555,-122.875,7.7
Shoal Bay,01/23/13,48.555,-122.875,7.84
Shoal Bay,01/24/13,48.555,-122.875,6.89
Shoal Bay,01/25/13,48.555,-122.875,7.68
Shoal Bay,01/26/13,48.555,-122.875,6.88
Shoal Bay,01/27/13,48.555,-122.875,6.58
Shoal Bay,01/28/13,48.555,-122.875,7.07
Shoal Bay,01/29/13,48.555,-122.875,6.93
Shoal Bay,01/30/13,48.555,-122.875,7.21
Shoal Bay,01/31/13,48.555,-122.875,7.3
Shoal Bay,02/01/13,48.555,-122.875,5.95
Shoal Bay,02/02/13,48.555,-122.875,7.21
Shoal Bay,02/03/13,48.555,-122.875,7.44
Shoal Bay,02/04/13,48.555,-122.875,7.49
Shoal Bay,02/05/13,48.555,-122.875,7.52
Shoal Bay,02/06/13,48.555,-122.875,7.49
Shoal Bay,02/07/13,48.555,-122.875,10.04
Shoal Bay,02/08/13,48.555,-122.875,6.46
Shoal Bay,02/09/13,48.555,-122.875,6.66
Shoal Bay,02/10/13,48.555,-122.875,8.02
Shoal Bay,02/11/13,48.555,-122.875,7.4
Shoal Bay,02/12/13,48.555,-122.875,7.4
Shoal Bay,02/13/13,48.555,-122.875,6.45
Shoal Bay,02/14/13,48.555,-122.875,6.94
Shoal Bay,02/15/13,48.555,-122.875,8.08
Shoal Bay,02/16/13,48.555,-122.875,7.61
Shoal Bay,02/17/13,48.555,-122.875,7.43
Shoal Bay,02/18/13,48.555,-122.875,7.01
Shoal Bay,02/19/13,48.555,-122.875,7.89
Shoal Bay,02/20/13,48.555,-122.875,5.99
Shoal Bay,02/21/13,48.555,-122.875,6.7
Shoal Bay,02/22/13,48.555,-122.875,6.97
Shoal Bay,02/23/13,48.555,-122.875,6.18
Shoal Bay,02/24/13,48.555,-122.875,6.56
Shoal Bay,02/25/13,48.555,-122.875,6.93
Shoal Bay,02/26/13,48.555,-122.875,5.64
